title,times,link,difficulty
Robot Bounded In Circle,190,https://leetcode.com/problems/robot-bounded-in-circle/,medium
LRU Cache,97,https://leetcode.com/problems/lru-cache/,medium
Number of Provinces,58,https://leetcode.com/problems/number-of-provinces/,medium
Merge Intervals,58,https://leetcode.com/problems/merge-intervals/,medium
K Closest Points to Origin,55,https://leetcode.com/problems/k-closest-points-to-origin/,medium
Maximum Units on a Truck,53,https://leetcode.com/problems/maximum-units-on-a-truck/,easy
Meeting Rooms II,43,https://leetcode.com/problems/meeting-rooms-ii/,premium
Search Suggestions System,39,https://leetcode.com/problems/search-suggestions-system/,medium
Minimum Cost to Connect Sticks,39,https://leetcode.com/problems/minimum-cost-to-connect-sticks/,premium
Merge k Sorted Lists,38,https://leetcode.com/problems/merge-k-sorted-lists/,hard
Analyze User Website Visit Pattern,34,https://leetcode.com/problems/analyze-user-website-visit-pattern/,premium
Maximum Area of a Piece of Cake After Horizontal and Vertical Cuts,30,https://leetcode.com/problems/maximum-area-of-a-piece-of-cake-after-horizontal-and-vertical-cuts/,medium
Maximum Subarray,29,https://leetcode.com/problems/maximum-subarray/,easy
Longest Substring Without Repeating Characters,29,https://leetcode.com/problems/longest-substring-without-repeating-characters/,medium
Add Two Numbers,28,https://leetcode.com/problems/add-two-numbers/,medium
Course Schedule,28,https://leetcode.com/problems/course-schedule/,medium
Concatenated Words,26,https://leetcode.com/problems/concatenated-words/,hard
Median of Two Sorted Arrays,24,https://leetcode.com/problems/median-of-two-sorted-arrays/,hard
Rotting Oranges,24,https://leetcode.com/problems/rotting-oranges/,medium
Count of Smaller Numbers After Self,23,https://leetcode.com/problems/count-of-smaller-numbers-after-self/,hard
Least Number of Unique Integers after K Removals,22,https://leetcode.com/problems/least-number-of-unique-integers-after-k-removals/,medium
Search in Rotated Sorted Array,22,https://leetcode.com/problems/search-in-rotated-sorted-array/,medium
Sell Diminishing-Valued Colored Balls,21,https://leetcode.com/problems/sell-diminishing-valued-colored-balls/,medium
Integer to English Words,21,https://leetcode.com/problems/integer-to-english-words/,hard
3Sum,20,https://leetcode.com/problems/3sum/,medium
Maximum Number of Events That Can Be Attended,19,https://leetcode.com/problems/maximum-number-of-events-that-can-be-attended/,medium
Product of Array Except Self,18,https://leetcode.com/problems/product-of-array-except-self/,medium
Copy List with Random Pointer,18,https://leetcode.com/problems/copy-list-with-random-pointer/,medium
LFU Cache,17,https://leetcode.com/problems/lfu-cache/,hard
Jump Game II,17,https://leetcode.com/problems/jump-game-ii/,medium
Min Stack,16,https://leetcode.com/problems/min-stack/,easy
All Nodes Distance K in Binary Tree,16,https://leetcode.com/problems/all-nodes-distance-k-in-binary-tree/,medium
Container With Most Water,16,https://leetcode.com/problems/container-with-most-water/,medium
Subarray Sum Equals K,16,https://leetcode.com/problems/subarray-sum-equals-k/,medium
Insert Delete GetRandom O(1),15,https://leetcode.com/problems/insert-delete-getrandom-o1/,medium
Binary Tree Zigzag Level Order Traversal,15,https://leetcode.com/problems/binary-tree-zigzag-level-order-traversal/,medium
Binary Tree Maximum Path Sum,15,https://leetcode.com/problems/binary-tree-maximum-path-sum/,hard
Shortest Path to Get Food,14,https://leetcode.com/problems/shortest-path-to-get-food/,premium
Design Tic-Tac-Toe,14,https://leetcode.com/problems/design-tic-tac-toe/,premium
Decode Ways,14,https://leetcode.com/problems/decode-ways/,medium
Basic Calculator II,13,https://leetcode.com/problems/basic-calculator-ii/,medium
Rotate Image,13,https://leetcode.com/problems/rotate-image/,medium
Design Parking System,13,https://leetcode.com/problems/design-parking-system/,easy
Roman to Integer,13,https://leetcode.com/problems/roman-to-integer/,easy
First Unique Character in a String,13,https://leetcode.com/problems/first-unique-character-in-a-string/,easy
Maximum Average Subtree,12,https://leetcode.com/problems/maximum-average-subtree/,premium
Next Permutation,12,https://leetcode.com/problems/next-permutation/,medium
Best Time to Buy and Sell Stock II,12,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-ii/,medium
Critical Connections in a Network,12,https://leetcode.com/problems/critical-connections-in-a-network/,hard
Climbing Stairs,11,https://leetcode.com/problems/climbing-stairs/,easy
Majority Element,11,https://leetcode.com/problems/majority-element/,easy
Reorganize String,11,https://leetcode.com/problems/reorganize-string/,medium
Consecutive Numbers Sum,11,https://leetcode.com/problems/consecutive-numbers-sum/,hard
Asteroid Collision,10,https://leetcode.com/problems/asteroid-collision/,medium
Next Greater Element II,10,https://leetcode.com/problems/next-greater-element-ii/,medium
Serialize and Deserialize Binary Tree,10,https://leetcode.com/problems/serialize-and-deserialize-binary-tree/,hard
Design an Expression Tree With Evaluate Function,10,https://leetcode.com/problems/design-an-expression-tree-with-evaluate-function/,premium
Kth Smallest Element in a Sorted Matrix,9,https://leetcode.com/problems/kth-smallest-element-in-a-sorted-matrix/,medium
Snakes and Ladders,9,https://leetcode.com/problems/snakes-and-ladders/,medium
Non-overlapping Intervals,9,https://leetcode.com/problems/non-overlapping-intervals/,medium
Keys and Rooms,8,https://leetcode.com/problems/keys-and-rooms/,medium
Time Based Key-Value Store,8,https://leetcode.com/problems/time-based-key-value-store/,medium
3Sum Closest,8,https://leetcode.com/problems/3sum-closest/,medium
Maximum Profit in Job Scheduling,8,https://leetcode.com/problems/maximum-profit-in-job-scheduling/,hard
Decode String,8,https://leetcode.com/problems/decode-string/,medium
Meeting Rooms,8,https://leetcode.com/problems/meeting-rooms/,premium
Second Highest Salary,8,https://leetcode.com/problems/second-highest-salary/,medium
Find Minimum in Rotated Sorted Array,8,https://leetcode.com/problems/find-minimum-in-rotated-sorted-array/,medium
Game of Life,8,https://leetcode.com/problems/game-of-life/,medium
The Maze,8,https://leetcode.com/problems/the-maze/,premium
Recover Binary Search Tree,8,https://leetcode.com/problems/recover-binary-search-tree/,medium
Spiral Matrix,8,https://leetcode.com/problems/spiral-matrix/,medium
Random Pick with Weight,7,https://leetcode.com/problems/random-pick-with-weight/,medium
Best Time to Buy and Sell Stock III,7,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-iii/,hard
Word Ladder II,7,https://leetcode.com/problems/word-ladder-ii/,hard
Vertical Order Traversal of a Binary Tree,7,https://leetcode.com/problems/vertical-order-traversal-of-a-binary-tree/,hard
Single Element in a Sorted Array,7,https://leetcode.com/problems/single-element-in-a-sorted-array/,medium
Unique Paths,7,https://leetcode.com/problems/unique-paths/,medium
Rank Transform of an Array,7,https://leetcode.com/problems/rank-transform-of-an-array/,easy
Path Sum II,7,https://leetcode.com/problems/path-sum-ii/,medium
Capacity To Ship Packages Within D Days,7,https://leetcode.com/problems/capacity-to-ship-packages-within-d-days/,medium
Find Peak Element,7,https://leetcode.com/problems/find-peak-element/,medium
