title,times,link,difficulty
Count Good Nodes in Binary Tree,129,https://leetcode.com/problems/count-good-nodes-in-binary-tree/,medium
Sign of the Product of an Array,76,https://leetcode.com/problems/sign-of-the-product-of-an-array/,easy
LRU Cache,50,https://leetcode.com/problems/lru-cache/,medium
Merge Intervals,30,https://leetcode.com/problems/merge-intervals/,medium
Spiral Matrix,27,https://leetcode.com/problems/spiral-matrix/,medium
Longest Substring Without Repeating Characters,23,https://leetcode.com/problems/longest-substring-without-repeating-characters/,medium
Search in Rotated Sorted Array,20,https://leetcode.com/problems/search-in-rotated-sorted-array/,medium
Meeting Rooms II,19,https://leetcode.com/problems/meeting-rooms-ii/,premium
Merge k Sorted Lists,19,https://leetcode.com/problems/merge-k-sorted-lists/,hard
Design HashMap,18,https://leetcode.com/problems/design-hashmap/,easy
Course Schedule,15,https://leetcode.com/problems/course-schedule/,medium
Reverse Words in a String,14,https://leetcode.com/problems/reverse-words-in-a-string/,medium
Maximum Subarray,13,https://leetcode.com/problems/maximum-subarray/,easy
Minimum Deletions to Make Character Frequencies Unique,13,https://leetcode.com/problems/minimum-deletions-to-make-character-frequencies-unique/,medium
String Compression,13,https://leetcode.com/problems/string-compression/,medium
Integer to English Words,12,https://leetcode.com/problems/integer-to-english-words/,hard
Binary Tree Zigzag Level Order Traversal,12,https://leetcode.com/problems/binary-tree-zigzag-level-order-traversal/,medium
Min Stack,11,https://leetcode.com/problems/min-stack/,easy
Serialize and Deserialize Binary Tree,11,https://leetcode.com/problems/serialize-and-deserialize-binary-tree/,hard
Add Two Numbers,11,https://leetcode.com/problems/add-two-numbers/,medium
Copy List with Random Pointer,11,https://leetcode.com/problems/copy-list-with-random-pointer/,medium
Merge Sorted Array,11,https://leetcode.com/problems/merge-sorted-array/,easy
Populating Next Right Pointers in Each Node II,11,https://leetcode.com/problems/populating-next-right-pointers-in-each-node-ii/,medium
Longest Substring with At Most K Distinct Characters,11,https://leetcode.com/problems/longest-substring-with-at-most-k-distinct-characters/,premium
Find Minimum in Rotated Sorted Array,10,https://leetcode.com/problems/find-minimum-in-rotated-sorted-array/,medium
Subarray Sum Equals K,10,https://leetcode.com/problems/subarray-sum-equals-k/,medium
Basic Calculator,10,https://leetcode.com/problems/basic-calculator/,hard
Longest Happy String,10,https://leetcode.com/problems/longest-happy-string/,premium
3Sum,9,https://leetcode.com/problems/3sum/,medium
Find All Anagrams in a String,9,https://leetcode.com/problems/find-all-anagrams-in-a-string/,medium
Basic Calculator II,9,https://leetcode.com/problems/basic-calculator-ii/,medium
Median of Two Sorted Arrays,9,https://leetcode.com/problems/median-of-two-sorted-arrays/,hard
Remove Duplicates from Sorted Array,9,https://leetcode.com/problems/remove-duplicates-from-sorted-array/,easy
Find the Duplicate Number,9,https://leetcode.com/problems/find-the-duplicate-number/,medium
Set Matrix Zeroes,8,https://leetcode.com/problems/set-matrix-zeroes/,medium
Product of Array Except Self,8,https://leetcode.com/problems/product-of-array-except-self/,medium
Container With Most Water,8,https://leetcode.com/problems/container-with-most-water/,medium
Find N Unique Integers Sum up to Zero,8,https://leetcode.com/problems/find-n-unique-integers-sum-up-to-zero/,easy
Insert Delete GetRandom O(1),8,https://leetcode.com/problems/insert-delete-getrandom-o1/,medium
Shuffle an Array,8,https://leetcode.com/problems/shuffle-an-array/,medium
String to Integer (atoi),8,https://leetcode.com/problems/string-to-integer-atoi/,medium
Decode String,8,https://leetcode.com/problems/decode-string/,medium
Longest Increasing Subsequence,8,https://leetcode.com/problems/longest-increasing-subsequence/,medium
Restore IP Addresses,7,https://leetcode.com/problems/restore-ip-addresses/,medium
Binary Tree Maximum Path Sum,7,https://leetcode.com/problems/binary-tree-maximum-path-sum/,hard
Search a 2D Matrix II,7,https://leetcode.com/problems/search-a-2d-matrix-ii/,medium
Boundary of Binary Tree,7,https://leetcode.com/problems/boundary-of-binary-tree/,premium
Insert into a Sorted Circular Linked List,7,https://leetcode.com/problems/insert-into-a-sorted-circular-linked-list/,premium
Wildcard Matching,7,https://leetcode.com/problems/wildcard-matching/,hard
Top K Frequent Words,7,https://leetcode.com/problems/top-k-frequent-words/,medium
First Unique Character in a String,7,https://leetcode.com/problems/first-unique-character-in-a-string/,easy
Single Element in a Sorted Array,7,https://leetcode.com/problems/single-element-in-a-sorted-array/,medium
LFU Cache,7,https://leetcode.com/problems/lfu-cache/,hard
Max Stack,7,https://leetcode.com/problems/max-stack/,premium
Max Chunks To Make Sorted,6,https://leetcode.com/problems/max-chunks-to-make-sorted/,medium
Reorganize String,6,https://leetcode.com/problems/reorganize-string/,medium
Design Tic-Tac-Toe,6,https://leetcode.com/problems/design-tic-tac-toe/,premium
Shortest Bridge,6,https://leetcode.com/problems/shortest-bridge/,medium
Serialize and Deserialize N-ary Tree,6,https://leetcode.com/problems/serialize-and-deserialize-n-ary-tree/,premium
Roman to Integer,6,https://leetcode.com/problems/roman-to-integer/,easy
Find Peak Element,6,https://leetcode.com/problems/find-peak-element/,medium
